nm lambda,1,2,3,4,5,6,7,8
414.909,0.055,0.076,0.087,0.114,0.115,0.092,0.164,0.142
415.08,0.054,0.075,0.086,0.113,0.114,0.091,0.163,0.14
415.252,0.053,0.075,0.086,0.112,0.113,0.091,0.161,0.139
415.424,0.053,0.075,0.084,0.111,0.112,0.09,0.16,0.138
415.595,0.052,0.075,0.084,0.11,0.11,0.089,0.159,0.136
415.767,0.052,0.075,0.083,0.11,0.11,0.088,0.157,0.135
415.938,0.051,0.074,0.082,0.109,0.109,0.087,0.157,0.134
416.11,0.051,0.074,0.081,0.108,0.108,0.086,0.155,0.133
416.281,0.051,0.074,0.081,0.107,0.106,0.086,0.154,0.131
416.453,0.049,0.073,0.079,0.106,0.105,0.084,0.152,0.129
416.624,0.049,0.072,0.078,0.105,0.104,0.084,0.151,0.128
416.796,0.048,0.071,0.077,0.104,0.102,0.083,0.148,0.127
416.967,0.047,0.07,0.076,0.103,0.101,0.082,0.147,0.125
417.139,0.047,0.069,0.075,0.102,0.1,0.081,0.145,0.123
417.31,0.046,0.068,0.073,0.101,0.099,0.079,0.144,0.121
417.482,0.044,0.067,0.072,0.1,0.097,0.078,0.143,0.12
417.654,0.044,0.066,0.071,0.099,0.097,0.077,0.142,0.12
417.825,0.043,0.065,0.07,0.098,0.096,0.076,0.14,0.118
417.997,0.042,0.065,0.069,0.097,0.095,0.075,0.138,0.118
418.168,0.042,0.064,0.068,0.096,0.093,0.074,0.137,0.117
418.34,0.041,0.064,0.068,0.095,0.093,0.074,0.135,0.116
418.511,0.042,0.064,0.068,0.094,0.092,0.073,0.134,0.116
418.683,0.042,0.063,0.067,0.093,0.091,0.073,0.131,0.114
418.854,0.041,0.063,0.067,0.092,0.089,0.071,0.13,0.113
419.026,0.041,0.063,0.067,0.092,0.088,0.072,0.129,0.113
419.198,0.04,0.063,0.066,0.091,0.087,0.071,0.127,0.111
419.369,0.041,0.063,0.066,0.09,0.086,0.071,0.126,0.11
419.541,0.04,0.062,0.065,0.088,0.085,0.07,0.124,0.11
419.712,0.04,0.062,0.065,0.088,0.084,0.07,0.122,0.109
