nm lambda,1,2,3,4,5,6,7,8
425.889,0.097,0.07,0.067,0.052,0.054,0.036,0.052,0.026
426.061,0.097,0.069,0.066,0.05,0.053,0.034,0.051,0.025
426.232,0.097,0.068,0.066,0.049,0.051,0.033,0.05,0.024
426.404,0.097,0.067,0.065,0.048,0.051,0.033,0.05,0.023
426.575,0.096,0.065,0.065,0.047,0.05,0.031,0.05,0.023
426.747,0.095,0.065,0.063,0.046,0.048,0.029,0.049,0.021
426.919,0.096,0.065,0.063,0.045,0.047,0.029,0.049,0.021
427.09,0.096,0.064,0.062,0.044,0.046,0.028,0.048,0.021
427.262,0.095,0.063,0.062,0.044,0.044,0.027,0.048,0.021
427.433,0.095,0.064,0.063,0.043,0.044,0.026,0.048,0.021
427.605,0.094,0.063,0.063,0.043,0.043,0.025,0.047,0.02
427.777,0.093,0.062,0.064,0.042,0.041,0.023,0.047,0.019
427.948,0.093,0.061,0.064,0.042,0.04,0.022,0.046,0.018
428.12,0.093,0.061,0.064,0.04,0.039,0.022,0.046,0.017
428.291,0.094,0.061,0.065,0.04,0.038,0.021,0.046,0.016
428.463,0.094,0.06,0.066,0.039,0.037,0.02,0.046,0.016
428.635,0.094,0.059,0.068,0.039,0.038,0.021,0.047,0.017
428.806,0.094,0.058,0.068,0.038,0.037,0.02,0.048,0.016
428.978,0.094,0.056,0.068,0.037,0.036,0.019,0.048,0.015
429.149,0.094,0.056,0.067,0.036,0.034,0.018,0.047,0.015
429.321,0.096,0.056,0.068,0.037,0.034,0.018,0.047,0.015
429.493,0.095,0.055,0.069,0.037,0.033,0.018,0.047,0.015
429.664,0.096,0.054,0.069,0.037,0.033,0.018,0.048,0.014
429.836,0.096,0.051,0.069,0.036,0.032,0.017,0.047,0.013
430.008,0.097,0.051,0.069,0.036,0.032,0.017,0.047,0.013
430.179,0.097,0.051,0.069,0.036,0.032,0.016,0.047,0.013
430.351,0.098,0.051,0.07,0.036,0.031,0.018,0.047,0.014
430.522,0.099,0.05,0.07,0.036,0.031,0.018,0.047,0.014
430.694,0.099,0.048,0.07,0.035,0.03,0.017,0.046,0.013
430.866,0.1,0.049,0.071,0.036,0.03,0.017,0.046,0.013
431.037,0.102,0.048,0.072,0.036,0.031,0.017,0.046,0.014
431.209,0.101,0.048,0.072,0.036,0.031,0.017,0.047,0.015
431.381,0.101,0.048,0.073,0.036,0.032,0.017,0.047,0.015
431.552,0.1,0.049,0.074,0.035,0.032,0.017,0.047,0.015
431.724,0.101,0.047,0.074,0.035,0.032,0.016,0.047,0.014
431.895,0.101,0.046,0.075,0.034,0.031,0.015,0.048,0.014
432.067,0.101,0.045,0.075,0.032,0.03,0.014,0.047,0.012
