nm lambda,1,2,3,4,5,6,7,8
420.57,1.164,0.946,0.902,0.828,0.863,0.523,0.448,0.182
420.742,1.16,0.948,0.904,0.829,0.866,0.523,0.447,0.182
420.913,1.156,0.946,0.9,0.827,0.866,0.522,0.447,0.181
421.085,1.163,0.952,0.9,0.83,0.868,0.523,0.448,0.18
421.256,1.162,0.952,0.902,0.83,0.869,0.522,0.447,0.179
421.428,1.163,0.952,0.901,0.827,0.871,0.522,0.447,0.178
421.599,1.161,0.954,0.901,0.828,0.872,0.523,0.448,0.179
421.771,1.158,0.953,0.898,0.826,0.87,0.523,0.448,0.179
421.943,1.16,0.951,0.898,0.825,0.868,0.525,0.447,0.178
422.114,1.161,0.954,0.898,0.827,0.87,0.525,0.449,0.179
422.286,1.171,0.954,0.902,0.83,0.872,0.527,0.45,0.18
422.457,1.184,0.956,0.901,0.832,0.873,0.529,0.451,0.181
422.629,1.189,0.955,0.899,0.833,0.87,0.528,0.452,0.181
422.8,1.198,0.96,0.9,0.834,0.87,0.53,0.453,0.182
422.972,1.193,0.957,0.896,0.833,0.864,0.529,0.453,0.183
423.144,1.206,0.96,0.898,0.835,0.865,0.53,0.455,0.185
423.315,1.207,0.961,0.897,0.837,0.864,0.529,0.456,0.184
423.487,1.209,0.959,0.896,0.84,0.862,0.53,0.456,0.185
423.658,1.212,0.959,0.895,0.842,0.861,0.529,0.457,0.185
423.83,1.224,0.968,0.899,0.848,0.863,0.532,0.458,0.187
424.002,1.219,0.965,0.897,0.848,0.859,0.531,0.457,0.187
424.173,1.222,0.966,0.899,0.853,0.863,0.534,0.459,0.188
424.345,1.214,0.963,0.898,0.851,0.862,0.533,0.457,0.188
424.516,1.224,0.97,0.902,0.855,0.865,0.534,0.458,0.187
424.688,1.223,0.968,0.9,0.853,0.864,0.533,0.458,0.187
424.859,1.233,0.974,0.904,0.859,0.871,0.533,0.458,0.187
425.031,1.24,0.974,0.907,0.86,0.87,0.533,0.458,0.185
425.203,1.24,0.975,0.911,0.861,0.87,0.532,0.458,0.184
425.374,1.232,0.974,0.912,0.856,0.87,0.531,0.458,0.184
425.546,1.226,0.972,0.915,0.857,0.871,0.534,0.458,0.185
425.717,1.211,0.97,0.915,0.858,0.87,0.534,0.457,0.186
425.889,1.205,0.97,0.915,0.858,0.866,0.534,0.457,0.185
426.061,1.202,0.968,0.911,0.854,0.862,0.533,0.456,0.183
426.232,1.215,0.976,0.917,0.859,0.872,0.536,0.459,0.184
426.404,1.217,0.972,0.913,0.855,0.87,0.535,0.459,0.185
426.575,1.211,0.972,0.908,0.849,0.867,0.534,0.457,0.184
426.747,1.201,0.969,0.903,0.844,0.863,0.531,0.458,0.184
426.919,1.214,0.978,0.907,0.846,0.866,0.533,0.46,0.186
427.09,1.217,0.977,0.908,0.844,0.863,0.532,0.459,0.186
427.262,1.236,0.983,0.913,0.848,0.87,0.534,0.461,0.185
427.433,1.227,0.978,0.908,0.847,0.866,0.534,0.46,0.185
427.605,1.234,0.981,0.911,0.848,0.869,0.537,0.463,0.186
427.777,1.244,0.984,0.913,0.851,0.874,0.539,0.464,0.188
427.948,1.251,0.982,0.914,0.857,0.88,0.541,0.464,0.188
428.12,1.239,0.972,0.904,0.854,0.877,0.54,0.463,0.188
428.291,1.244,0.972,0.903,0.858,0.881,0.541,0.463,0.187
428.463,1.254,0.975,0.901,0.86,0.882,0.539,0.463,0.186
428.635,1.275,0.972,0.904,0.867,0.885,0.541,0.465,0.185
428.806,1.279,0.967,0.903,0.868,0.885,0.54,0.465,0.185
428.978,1.295,0.973,0.909,0.875,0.889,0.542,0.467,0.186
429.149,1.277,0.96,0.907,0.871,0.885,0.541,0.467,0.186
429.321,1.275,0.96,0.91,0.873,0.889,0.541,0.469,0.186
429.493,1.269,0.956,0.909,0.873,0.888,0.541,0.47,0.186
429.664,1.273,0.959,0.914,0.881,0.891,0.544,0.472,0.187
429.836,1.263,0.959,0.91,0.878,0.884,0.543,0.471,0.186
430.008,1.265,0.961,0.91,0.875,0.879,0.544,0.472,0.183
430.179,1.266,0.962,0.91,0.869,0.88,0.542,0.471,0.181
430.351,1.28,0.967,0.914,0.873,0.884,0.543,0.474,0.181
430.522,1.276,0.969,0.911,0.869,0.88,0.543,0.473,0.181
