nm lambda,1,2,3,4,5,6,7,8,9,10,11,12
402.733,0.063,0.084,0.101,0.132,0.132,0.105,0.189,0.157,0.599,1.094,1.789,2.5
402.904,0.063,0.084,0.102,0.132,0.133,0.105,0.19,0.158,0.602,1.1,1.798,2.5
403.076,0.064,0.084,0.102,0.133,0.134,0.106,0.19,0.158,0.605,1.105,1.802,2.5
403.247,0.064,0.084,0.103,0.134,0.135,0.106,0.191,0.159,0.608,1.111,1.809,2.5
403.419,0.064,0.085,0.103,0.134,0.135,0.106,0.192,0.159,0.611,1.118,1.816,2.5
403.59,0.065,0.085,0.104,0.134,0.135,0.107,0.193,0.16,0.614,1.124,1.828,2.5
403.762,0.065,0.085,0.104,0.135,0.136,0.107,0.193,0.16,0.616,1.129,1.833,2.5
403.933,0.065,0.085,0.104,0.135,0.136,0.107,0.194,0.161,0.619,1.136,1.845,2.5
404.104,0.065,0.085,0.105,0.136,0.137,0.108,0.195,0.161,0.621,1.144,1.851,2.5
404.276,0.065,0.085,0.105,0.136,0.137,0.108,0.195,0.162,0.624,1.151,1.866,2.5
404.447,0.066,0.086,0.105,0.136,0.137,0.108,0.196,0.163,0.626,1.155,1.874,2.5
404.619,0.066,0.086,0.105,0.137,0.138,0.109,0.197,0.164,0.628,1.159,1.884,2.5
404.79,0.066,0.086,0.106,0.137,0.138,0.109,0.198,0.165,0.63,1.163,1.892,2.5
404.962,0.066,0.087,0.106,0.137,0.138,0.11,0.198,0.165,0.632,1.165,1.9,2.5
405.133,0.066,0.087,0.106,0.138,0.138,0.11,0.199,0.166,0.633,1.169,1.913,2.5
405.305,0.066,0.087,0.106,0.138,0.139,0.111,0.199,0.167,0.635,1.173,1.935,2.5
405.476,0.066,0.087,0.106,0.138,0.139,0.111,0.199,0.168,0.636,1.177,1.939,2.5
405.648,0.067,0.088,0.106,0.139,0.139,0.111,0.2,0.168,0.638,1.179,1.955,2.5
405.819,0.067,0.088,0.107,0.139,0.139,0.112,0.2,0.169,0.638,1.182,1.96,2.5
405.991,0.067,0.088,0.107,0.139,0.14,0.112,0.201,0.169,0.639,1.183,1.967,2.5
406.162,0.067,0.088,0.107,0.139,0.14,0.112,0.201,0.17,0.641,1.187,1.992,2.5
406.334,0.067,0.088,0.108,0.139,0.14,0.112,0.202,0.17,0.642,1.19,2.019,2.5
406.505,0.067,0.088,0.108,0.14,0.141,0.113,0.202,0.17,0.643,1.194,2.029,2.5
406.677,0.067,0.088,0.108,0.14,0.141,0.113,0.202,0.17,0.644,1.196,2.05,2.5
406.848,0.067,0.088,0.108,0.14,0.141,0.113,0.202,0.17,0.644,1.197,2.049,2.5
407.02,0.067,0.088,0.108,0.14,0.141,0.113,0.202,0.17,0.645,1.198,2.072,2.5
407.191,0.067,0.088,0.108,0.139,0.141,0.113,0.202,0.17,0.646,1.2,2.089,2.5
407.363,0.067,0.088,0.108,0.139,0.141,0.113,0.202,0.169,0.647,1.201,2.102,2.5
407.534,0.067,0.088,0.108,0.139,0.141,0.113,0.201,0.169,0.647,1.205,2.149,2.5
407.706,0.067,0.088,0.108,0.139,0.141,0.112,0.202,0.169,0.647,1.206,2.16,2.5
407.877,0.066,0.088,0.107,0.139,0.14,0.112,0.201,0.168,0.647,1.206,2.178,2.5
408.048,0.066,0.088,0.107,0.139,0.14,0.112,0.201,0.168,0.647,1.209,2.199,2.5
408.22,0.066,0.088,0.107,0.139,0.14,0.112,0.201,0.168,0.647,1.21,2.194,2.5
408.391,0.066,0.088,0.107,0.138,0.139,0.112,0.201,0.168,0.647,1.209,2.209,2.5
408.563,0.065,0.088,0.106,0.138,0.139,0.111,0.201,0.168,0.645,1.207,2.195,2.5
408.734,0.065,0.087,0.105,0.137,0.138,0.111,0.2,0.167,0.645,1.206,2.196,2.5
408.906,0.064,0.087,0.105,0.137,0.138,0.111,0.199,0.167,0.643,1.208,2.212,2.5
409.077,0.065,0.087,0.104,0.137,0.137,0.111,0.199,0.167,0.641,1.209,2.218,2.5
409.249,0.064,0.088,0.104,0.137,0.137,0.111,0.198,0.167,0.64,1.208,2.193,2.5
409.42,0.064,0.088,0.104,0.137,0.137,0.111,0.197,0.167,0.638,1.207,2.19,2.5
409.592,0.064,0.088,0.104,0.137,0.136,0.11,0.197,0.166,0.635,1.204,2.145,2.5
409.763,0.064,0.087,0.104,0.137,0.136,0.11,0.196,0.166,0.633,1.203,2.126,2.5
409.935,0.064,0.087,0.104,0.136,0.136,0.11,0.195,0.166,0.631,1.203,2.107,2.5
410.106,0.064,0.087,0.104,0.136,0.136,0.109,0.195,0.166,0.629,1.199,2.115,2.5
410.278,0.064,0.086,0.103,0.136,0.135,0.109,0.195,0.165,0.628,1.2,2.135,2.5
410.449,0.064,0.086,0.103,0.135,0.135,0.109,0.194,0.165,0.626,1.198,2.129,2.5
410.621,0.063,0.086,0.102,0.135,0.134,0.109,0.193,0.165,0.623,1.197,2.116,2.5
410.792,0.063,0.086,0.102,0.135,0.134,0.108,0.192,0.164,0.62,1.192,2.112,2.5
410.964,0.063,0.085,0.101,0.134,0.133,0.108,0.191,0.163,0.618,1.187,2.101,2.5
411.135,0.063,0.085,0.101,0.133,0.132,0.107,0.19,0.162,0.616,1.183,2.117,2.5
411.307,0.063,0.085,0.1,0.132,0.131,0.107,0.189,0.162,0.614,1.181,2.106,2.5
411.479,0.062,0.085,0.1,0.131,0.131,0.106,0.189,0.161,0.611,1.176,2.101,2.5
411.65,0.062,0.084,0.099,0.13,0.13,0.106,0.188,0.16,0.608,1.172,2.087,2.5
